open_price,high_price,low_price,close_price,volume,start_time,end_time
64615.9,64660.0,64588.0,64623.4,10206636.611199997,2024-08-01 03:30:00.043400,2024-08-01 03:31:00.043400
64618.7,64666.5,64606.6,64650.2,4155731.290400002,2024-08-01 03:31:00.290300,2024-08-01 03:32:00.290300
64650.3,64685.8,64606.6,64612.2,3802876.2902999986,2024-08-01 03:32:01.085400,2024-08-01 03:33:01.085400
64612.2,64680.4,64612.2,64671.8,2272323.624399996,2024-08-01 03:33:01.102600,2024-08-01 03:34:01.102600
64671.9,64693.4,64657.1,64663.1,2121922.2548000007,2024-08-01 03:34:01.154000,2024-08-01 03:35:01.154000
64665.1,64736.0,64665.1,64736.0,2518891.1548000006,2024-08-01 03:35:01.156500,2024-08-01 03:36:01.156500
64736.0,64764.2,64714.2,64761.2,9447445.386299992,2024-08-01 03:36:01.369000,2024-08-01 03:37:01.369000
64761.3,64777.8,64715.0,64715.9,3835503.363800002,2024-08-01 03:37:01.732200,2024-08-01 03:38:01.732200
64716.0,64733.0,64650.0,64707.6,5313430.293200002,2024-08-01 03:38:01.872200,2024-08-01 03:39:01.872200
64707.8,64772.0,64700.0,64771.9,966335.7213000006,2024-08-01 03:39:01.911800,2024-08-01 03:40:01.911800
64772.0,64785.2,64743.0,64755.3,1823845.1646999924,2024-08-01 03:40:02.191600,2024-08-01 03:41:02.191600
64755.3,64755.3,64710.0,64710.5,1553073.8937000013,2024-08-01 03:41:02.398600,2024-08-01 03:42:02.398600
64710.5,64710.5,64611.6,64614.3,1800679.9073999997,2024-08-01 03:42:02.403600,2024-08-01 03:43:02.403600
64614.3,64631.1,64600.0,64618.9,3310808.8675000006,2024-08-01 03:43:02.510400,2024-08-01 03:44:02.510400
64618.9,64664.7,64606.0,64664.7,3691817.026999996,2024-08-01 03:44:03.045200,2024-08-01 03:45:03.045200
64664.6,64696.5,64619.1,64696.5,2681521.9368,2024-08-01 03:45:03.100600,2024-08-01 03:46:03.100600
64696.5,64744.3,64677.8,64683.5,2190301.183800001,2024-08-01 03:46:03.599000,2024-08-01 03:47:03.599000
64683.6,64684.1,64640.0,64666.8,2271567.628800001,2024-08-01 03:47:03.745400,2024-08-01 03:48:03.745400
64666.8,64676.6,64612.0,64633.6,1195003.1684,2024-08-01 03:48:03.985800,2024-08-01 03:49:03.985800
64632.9,64665.9,64612.8,64665.9,1294949.470700001,2024-08-01 03:49:04.050700,2024-08-01 03:50:04.050700
64665.9,64666.0,64630.0,64630.1,1187995.782899999,2024-08-01 03:50:04.377400,2024-08-01 03:51:04.377400
