first_trade_ts,last_trade_ts,profiling
1722472097.5103,1722472103.1774,"{'delta': -2311405.3321999894, 'trade_count': 1833, 'buy_trade_count': 1099, 'sell_trade_count': 734, 'val': 64550, 'vah': 64600, 'poc': 64550, 'poc_idx': 0, 'poc_volume': 5025140, 'total_volume': 10030191.776400007, 'bid_volume': 3859393.2220999985, 'ask_volume': 6169571.424899999}"
1722472103.1797,1722472123.4784,"{'delta': 8413382.214299992, 'trade_count': 1518, 'buy_trade_count': 1375, 'sell_trade_count': 143, 'val': 64650, 'vah': 64700, 'poc': 64700, 'poc_idx': 2, 'poc_volume': 4519141, 'total_volume': 10000937.767899996, 'bid_volume': 9204899.172799991, 'ask_volume': 793777.7768000002}"
1722472123.4784,1722472128.5828,"{'delta': 8968253.392, 'trade_count': 623, 'buy_trade_count': 542, 'sell_trade_count': 81, 'val': 64700, 'vah': 64700, 'poc': 64700, 'poc_idx': 1, 'poc_volume': 8620622, 'total_volume': 10023790.7124, 'bid_volume': 9471773.070199998, 'ask_volume': 527768.6601999997}"
1722472128.5828,1722472204.7809,"{'delta': -3164528.7956999983, 'trade_count': 1620, 'buy_trade_count': 628, 'sell_trade_count': 992, 'val': 64550, 'vah': 64650, 'poc': 64550, 'poc_idx': 1, 'poc_volume': 4146572, 'total_volume': 10065786.225699985, 'bid_volume': 3420682.5695000025, 'ask_volume': 6602961.474100001}"
1722472204.7809,1722472354.8098,"{'delta': 2908317.233499993, 'trade_count': 2803, 'buy_trade_count': 1699, 'sell_trade_count': 1104, 'val': 64550, 'vah': 64650, 'poc': 64600, 'poc_idx': 1, 'poc_volume': 3341805, 'total_volume': 10025948.477900026, 'bid_volume': 6458157.6119000055, 'ask_volume': 3558815.622200006}"
1722472354.8098,1722472493.8923,"{'delta': -1841272.4934000014, 'trade_count': 1622, 'buy_trade_count': 993, 'sell_trade_count': 629, 'val': 64700, 'vah': 64700, 'poc': 64700, 'poc_idx': 1, 'poc_volume': 7296212, 'total_volume': 10030391.272599995, 'bid_volume': 4093912.4906000094, 'ask_volume': 5934538.389}"
1722472493.8923,1722472666.8795,"{'delta': -305778.3843999986, 'trade_count': 2548, 'buy_trade_count': 1537, 'sell_trade_count': 1011, 'val': 64750, 'vah': 64750, 'poc': 64750, 'poc_idx': 1, 'poc_volume': 7185227, 'total_volume': 10002594.262000019, 'bid_volume': 4847242.0368000055, 'ask_volume': 5137690.883199999}"
1722472666.8854,1722472805.6245,"{'delta': 5510238.861200004, 'trade_count': 1728, 'buy_trade_count': 1299, 'sell_trade_count': 429, 'val': 64750, 'vah': 64800, 'poc': 64800, 'poc_idx': 1, 'poc_volume': 6813156, 'total_volume': 10003055.83339998, 'bid_volume': 7755999.945699983, 'ask_volume': 2246408.486099998}"
1722472805.6291,1722472923.6128,"{'delta': -2783119.1262999983, 'trade_count': 1446, 'buy_trade_count': 709, 'sell_trade_count': 737, 'val': 64750, 'vah': 64750, 'poc': 64750, 'poc_idx': 1, 'poc_volume': 8628177, 'total_volume': 10010481.771300003, 'bid_volume': 3613681.3224999984, 'ask_volume': 6395634.425799994}"
1722472923.6128,1722473133.3341,"{'delta': -3430075.045100004, 'trade_count': 2446, 'buy_trade_count': 622, 'sell_trade_count': 1824, 'val': 64600, 'vah': 64700, 'poc': 64600, 'poc_idx': 1, 'poc_volume': 3086071, 'total_volume': 10009337.643899987, 'bid_volume': 3289566.6248999997, 'ask_volume': 6672953.934899985}"
1722473133.3341,1722473192.0291,"{'delta': -7606638.667100014, 'trade_count': 1984, 'buy_trade_count': 293, 'sell_trade_count': 1691, 'val': 64450, 'vah': 64550, 'poc': 64450, 'poc_idx': 0, 'poc_volume': 3628282, 'total_volume': 10002378.541500002, 'bid_volume': 1197869.9371999993, 'ask_volume': 8744276.570400003}"
1722473192.0291,1722473231.2781,"{'delta': -211297.5521000009, 'trade_count': 1356, 'buy_trade_count': 550, 'sell_trade_count': 806, 'val': 64450, 'vah': 64500, 'poc': 64450, 'poc_idx': 1, 'poc_volume': 6712722, 'total_volume': 10007308.339899994, 'bid_volume': 4897876.442500003, 'ask_volume': 5108916.3345000055}"
1722473231.2781,1722473238.1022,"{'delta': -7002185.4225999825, 'trade_count': 1950, 'buy_trade_count': 184, 'sell_trade_count': 1766, 'val': 64350, 'vah': 64400, 'poc': 64400, 'poc_idx': 1, 'poc_volume': 5211525, 'total_volume': 10006624.838600019, 'bid_volume': 1502155.2709000015, 'ask_volume': 8499766.651700005}"
1722473238.1022,1722473272.2274,"{'delta': -3390355.8666999913, 'trade_count': 1739, 'buy_trade_count': 625, 'sell_trade_count': 1114, 'val': 64350, 'vah': 64400, 'poc': 64400, 'poc_idx': 1, 'poc_volume': 5046468, 'total_volume': 10001686.51010001, 'bid_volume': 3305600.946399999, 'ask_volume': 6692224.963200005}"
1722473272.24,1722473292.8443,"{'delta': -3974925.9893999966, 'trade_count': 1506, 'buy_trade_count': 442, 'sell_trade_count': 1064, 'val': 64300, 'vah': 64350, 'poc': 64350, 'poc_idx': 1, 'poc_volume': 5226105, 'total_volume': 10012563.392600011, 'bid_volume': 3015341.447200001, 'ask_volume': 6993036.6280999975}"
